Arguements passed 10
Argument       0: opt_noPBC.py
Argument       1: /scratch/c.c1809139/64931431/Pd_np/optrun.64931431
Argument       2: 40
Argument       3: 64931431
Argument       4: /home/c.c1809139/DJW_EBMC/Pd_nps
Argument       5: Pd_np
Argument       6: optrun.64931431
Argument       7: hawk
Argument       8: NoFix
Argument       9: /home/c.c1809139/DJW_EBMC/Pd_nps/Pd_np/qn.pckl
------------------------------------------------------------
Work directory                 : /scratch/c.c1809139/64931431/Pd_np/optrun.64931431
stdout file for prog           : /home/c.c1809139/DJW_EBMC/Pd_nps/vasp_Pd_np_64931431.stdout
results_dir for this script    : /home/c.c1809139/DJW_EBMC/Pd_nps/Pd_np/optrun.64931431
trajectory file for this run   : /home/c.c1809139/DJW_EBMC/Pd_nps/Pd_np/optrun.64931431/Pd_np_64931431.traj
Stem for POSCAR files of steps : /home/c.c1809139/DJW_EBMC/Pd_nps/Pd_np/optrun.64931431/Pd_np_64931431.traj
Machine running job            : hawk

zfix not set so will not freeze any atom co-ordinates unless pre-defined in geometry file.
------------------------------------------------------------
Running command set to:
time mpirun -np 40 /apps/local/projects/scw1057/software/fhi-aims/bin/aims.230612.scalapack.mpi.x
Cell: Cell([0.0, 0.0, 0.0])
0 Pd   0.000000   1.122946   3.000000
1 Pd   0.000000   1.122946   4.500000
2 Pd   1.945000   0.000000   4.500000
3 Pd   0.000000   3.368839   4.500000
4 Pd   3.890000   1.122946   3.000000
5 Pd   3.890000   1.122946   4.500000
6 Pd   1.945000   2.245893   3.000000
7 Pd   1.945000   4.491785   3.000000
8 Pd   1.945000   4.491785   4.500000
9 Pd   3.890000   3.368839   4.500000
You are using i-Pi based socket connectivity between ASE and FHI-aims.
The communicated energy in Hartree units will be converted to eV in ASE and not FHI-aims.
The eV/Hartree unit in FHI-aims is given by CODATA 2002 (Web Version 4.0 2003-12-09), Peter J. Mohr, Barry N. Taylor
ASE uses CODATA 2014, thus the energy in eV from ASE and the FHI-aims outputs will differ.
Please be consistent in the unit conversion for data analysis!
You can turn off this message by setting 'codata_warning' keyword to False.
Initial energy :  -1389914.2548145945  eV
      Step     Time          Energy         fmax
BFGS:    0 23:09:38 -1389914.254815      120.3915
BFGS:    1 23:09:49 -1389981.755240       20.9897
BFGS:    2 23:10:04 -1389987.631967       14.3147
BFGS:    3 23:10:18 -1389994.145668        5.8476
BFGS:    4 23:10:29 -1389995.794858        3.2151
BFGS:    5 23:10:40 -1389996.522812        1.4167
BFGS:    6 23:10:50 -1389996.748279        1.2418
BFGS:    7 23:11:02 -1389996.998490        1.2323
BFGS:    8 23:11:16 -1389997.340985        1.1305
BFGS:    9 23:11:27 -1389997.588573        1.6982
BFGS:   10 23:11:35 -1389997.774153        1.4726
BFGS:   11 23:11:43 -1389997.861458        0.6188
BFGS:   12 23:11:51 -1389997.882715        0.7441
BFGS:   13 23:11:58 -1389997.911953        0.6371
BFGS:   14 23:12:06 -1389997.936373        0.3368
BFGS:   15 23:12:14 -1389997.950830        0.2990
BFGS:   16 23:12:23 -1389997.970930        0.3579
BFGS:   17 23:12:33 -1389998.005084        0.4877
BFGS:   18 23:12:42 -1389998.043180        0.5795
BFGS:   19 23:12:51 -1389998.073128        0.3191
BFGS:   20 23:13:00 -1389998.082661        0.0894
BFGS:   21 23:13:07 -1389998.083942        0.0880
BFGS:   22 23:13:15 -1389998.085531        0.0827
BFGS:   23 23:13:22 -1389998.088169        0.1124
BFGS:   24 23:13:30 -1389998.094419        0.1678
BFGS:   25 23:13:38 -1389998.103707        0.1813
BFGS:   26 23:13:47 -1389998.111065        0.1168
BFGS:   27 23:13:54 -1389998.113196        0.0583
BFGS:   28 23:14:01 -1389998.113545        0.0573
BFGS:   29 23:14:08 -1389998.113821        0.0542
BFGS:   30 23:14:16 -1389998.114326        0.0512
BFGS:   31 23:14:23 -1389998.114884        0.0389
BFGS:   32 23:14:31 -1389998.115301        0.0307
BFGS:   33 23:14:38 -1389998.115499        0.0254
BFGS:   34 23:14:44 -1389998.115606        0.0161
BFGS:   35 23:14:52 -1389998.115675        0.0126
BFGS:   36 23:14:58 -1389998.115685        0.0123
BFGS:   37 23:15:03 -1389998.115693        0.0107
BFGS:   38 23:15:08 -1389998.115693        0.0078
Calculation finished!
